,index,district_1,district_2,stn,ta_max,ta_min,ta_max_min,rn_day,ws_max,ws_ins_max,ws_mean,ws_min,hm_max,hm_mean,hm_min,date,month_x,year_x,num,year_y,tm,fire_type_1,fire_type_2,ignition_factor_category_1,ignition_factor_category_2,casualties,dead,injury,property_damage,location_category_1,location_category_2,location_category_3,month_y,ym,hour,season
518381,522314,강원특별자치도,강릉시,105,5.7,-2.1,7.8,0.0,6.2,10.6,3.8,2.2,24.9,19.9,11.6,2018-01-01,1,2018,28.0,2018.0,2018-01-01 07:09:00,기타(쓰레기 화재등),,부주의,담배꽁초,0.0,0.0,0.0,0.0,기타,야외,기타야외,1.0,2018-01,7.0,winter
518382,522315,강원특별자치도,강릉시,105,5.7,-2.1,7.8,0.0,6.2,10.6,3.8,2.2,24.9,19.9,11.6,2018-01-01,1,2018,80.0,2018.0,2018-01-01 18:07:00,기타(쓰레기 화재등),,부주의,용접/ 절단/ 연마,0.0,0.0,0.0,11.0,기타,야외,기타야외,1.0,2018-01,18.0,winter
518383,522316,강원특별자치도,강릉시,105,5.7,-2.1,7.8,0.0,6.2,10.6,3.8,2.2,24.9,19.9,11.6,2018-01-01,1,2018,82.0,2018.0,2018-01-01 18:25:00,임야,,부주의,불씨/불꽃/화원방치,0.0,0.0,0.0,0.0,임야,들불,기타 들불,1.0,2018-01,18.0,winter
518384,522317,강원특별자치도,강릉시,105,5.7,-2.1,7.8,0.0,6.2,10.6,3.8,2.2,24.9,19.9,11.6,2018-01-01,1,2018,87.0,2018.0,2018-01-01 19:30:00,기타(쓰레기 화재등),,부주의,기타(부주의),0.0,0.0,0.0,0.0,기타,야외,기타야외,1.0,2018-01,19.0,winter
518385,522318,강원특별자치도,강릉시,105,6.9,-0.6,7.5,0.0,5.4,11.2,2.9,0.9,35.8,23.0,14.8,2018-01-02,1,2018,,,,,,,,,,,,,,,,,,
518386,522319,강원특별자치도,강릉시,105,4.8,-3.8,8.6,0.0,4.9,7.8,2.6,0.6,30.7,25.8,18.4,2018-01-03,1,2018,,,,,,,,,,,,,,,,,,
518387,522320,강원특별자치도,강릉시,105,4.4,-4.5,8.9,0.0,5.1,8.0,2.7,0.9,60.0,41.4,22.8,2018-01-04,1,2018,,,,,,,,,,,,,,,,,,
518388,522321,강원특별자치도,강릉시,105,7.6,-0.9,8.5,0.0,5.1,8.6,3.3,0.9,61.2,37.4,15.3,2018-01-05,1,2018,586.0,2018.0,2018-01-05 20:09:00,기타(쓰레기 화재등),,부주의,담배꽁초,0.0,0.0,0.0,0.0,기타,야외,쓰레기,1.0,2018-01,20.0,winter
518389,522322,강원특별자치도,강릉시,105,6.9,-1.6,8.5,0.0,5.3,9.5,3.1,0.5,39.7,29.5,18.7,2018-01-06,1,2018,,,,,,,,,,,,,,,,,,
518390,522323,강원특별자치도,강릉시,105,9.1,-1.6,10.7,0.0,5.3,7.8,2.4,0.3,35.7,27.7,14.4,2018-01-07,1,2018,,,,,,,,,,,,,,,,,,
518391,522324,강원특별자치도,강릉시,105,9.2,2.4,6.8,0.0,5.6,10.5,3.5,1.2,53.2,41.2,18.2,2018-01-08,1,2018,,,,,,,,,,,,,,,,,,
518392,522325,강원특별자치도,강릉시,105,2.6,-3.6,6.2,0.0,8.8,18.0,5.0,3.1,45.5,32.7,26.2,2018-01-09,1,2018,965.0,2018.0,2018-01-09 07:21:00,기타(쓰레기 화재등),,부주의,담배꽁초,0.0,0.0,0.0,0.0,기타,야외,기타야외,1.0,2018-01,7.0,winter
518393,522326,강원특별자치도,강릉시,105,-1.4,-8.5,7.1,0.0,7.5,16.3,3.4,0.7,51.8,29.0,15.4,2018-01-10,1,2018,,,,,,,,,,,,,,,,,,
518394,522327,강원특별자치도,강릉시,105,-3.5,-10.1,6.6,0.0,6.3,10.7,4.6,2.6,35.3,28.6,21.2,2018-01-11,1,2018,,,,,,,,,,,,,,,,,,
518395,522328,강원특별자치도,강릉시,105,-0.8,-11.5,10.7,0.0,6.1,12.1,4.3,2.2,34.7,24.3,14.8,2018-01-12,1,2018,,,,,,,,,,,,,,,,,,
518396,522329,강원특별자치도,강릉시,105,5.1,-5.6,10.7,0.0,5.1,8.8,2.5,1.4,44.1,34.3,25.4,2018-01-13,1,2018,,,,,,,,,,,,,,,,,,
518397,522330,강원특별자치도,강릉시,105,9.2,-3.0,12.2,0.0,6.9,15.3,3.2,1.1,48.6,36.7,18.3,2018-01-14,1,2018,1652.0,2018.0,2018-01-14 18:07:00,기타(쓰레기 화재등),,미상,미상,0.0,0.0,0.0,0.0,기타,야외,공터,1.0,2018-01,18.0,winter
518398,522331,강원특별자치도,강릉시,105,12.5,6.7,5.8,0.0,6.4,14.1,3.7,1.6,51.7,36.3,23.7,2018-01-15,1,2018,,,,,,,,,,,,,,,,,,
518399,522332,강원특별자치도,강릉시,105,12.2,5.5,6.7,0.0,5.4,10.0,2.7,1.1,55.1,35.9,22.4,2018-01-16,1,2018,1883.0,2018.0,2018-01-16 14:37:00,기타(쓰레기 화재등),,부주의,담배꽁초,0.0,0.0,0.0,0.0,기타,야외,공터,1.0,2018-01,14.0,winter
518400,522333,강원특별자치도,강릉시,105,7.3,3.6,3.7,1.0,6.6,13.5,1.8,0.6,86.1,68.0,44.8,2018-01-17,1,2018,,,,,,,,,,,,,,,,,,
518401,522334,강원특별자치도,강릉시,105,9.2,4.2,5.0,0.0,7.1,12.8,2.8,0.7,46.4,33.7,20.7,2018-01-18,1,2018,,,,,,,,,,,,,,,,,,
518402,522335,강원특별자치도,강릉시,105,10.0,1.5,8.5,0.0,4.1,7.1,2.2,0.8,33.4,23.0,11.0,2018-01-19,1,2018,,,,,,,,,,,,,,,,,,
518403,522336,강원특별자치도,강릉시,105,7.3,0.7,6.6,0.0,6.0,9.4,3.2,1.2,47.1,38.5,21.2,2018-01-20,1,2018,,,,,,,,,,,,,,,,,,
518404,522337,강원특별자치도,강릉시,105,7.6,-0.4,8.0,0.0,4.1,7.4,2.4,0.8,46.5,32.4,15.2,2018-01-21,1,2018,,,,,,,,,,,,,,,,,,
518405,522338,강원특별자치도,강릉시,105,6.0,-0.9,6.9,1.5,3.6,6.6,1.7,0.7,89.4,51.6,32.2,2018-01-22,1,2018,,,,,,,,,,,,,,,,,,
518406,522339,강원특별자치도,강릉시,105,-0.5,-11.9,11.4,0.0,9.0,15.5,4.8,1.0,88.9,35.1,17.3,2018-01-23,1,2018,,,,,,,,,,,,,,,,,,
518407,522340,강원특별자치도,강릉시,105,-6.4,-14.2,7.8,0.0,6.3,11.0,4.1,2.6,32.7,20.7,14.0,2018-01-24,1,2018,,,,,,,,,,,,,,,,,,
518408,522341,강원특별자치도,강릉시,105,-1.5,-12.6,11.1,0.0,7.0,12.2,3.8,1.3,26.6,21.8,13.8,2018-01-25,1,2018,,,,,,,,,,,,,,,,,,
518409,522342,강원특별자치도,강릉시,105,-3.5,-13.8,10.3,0.0,5.8,9.1,3.4,1.1,30.5,23.1,14.9,2018-01-26,1,2018,3222.0,2018.0,2018-01-26 23:20:00,기타(쓰레기 화재등),,부주의,가연물 근접방치,0.0,0.0,0.0,0.0,기타,야외,모닥불,1.0,2018-01,23.0,winter
518410,522343,강원특별자치도,강릉시,105,2.5,-9.9,12.4,0.0,5.5,8.9,2.8,0.7,44.9,27.6,10.7,2018-01-27,1,2018,,,,,,,,,,,,,,,,,,
518411,522344,강원특별자치도,강릉시,105,2.4,-5.4,7.8,0.0,7.0,13.7,4.0,1.9,27.7,18.9,11.4,2018-01-28,1,2018,,,,,,,,,,,,,,,,,,
518412,522345,강원특별자치도,강릉시,105,-0.9,-9.0,8.1,0.0,7.7,13.6,3.9,1.4,27.2,19.9,13.0,2018-01-29,1,2018,,,,,,,,,,,,,,,,,,
518413,522346,강원특별자치도,강릉시,105,3.3,-8.3,11.6,0.0,8.2,13.5,4.0,1.5,52.5,29.7,16.3,2018-01-30,1,2018,,,,,,,,,,,,,,,,,,
518414,522347,강원특별자치도,강릉시,105,3.4,-0.7,4.1,0.0,4.9,9.4,2.8,0.7,51.8,33.5,15.8,2018-01-31,1,2018,,,,,,,,,,,,,,,,,,
518415,522348,강원특별자치도,강릉시,105,3.6,-4.5,8.1,0.0,4.2,6.1,2.4,1.3,58.2,35.2,16.7,2018-02-01,2,2018,,,,,,,,,,,,,,,,,,
518416,522349,강원특별자치도,강릉시,105,4.8,-4.5,9.3,0.0,6.3,11.2,3.5,1.4,68.6,51.2,25.4,2018-02-02,2,2018,4334.0,2018.0,2018-02-02 13:15:00,기타(쓰레기 화재등),,부주의,담배꽁초,1.0,0.0,1.0,0.0,기타,야외,기타야외,2.0,2018-02,13.0,winter
518417,522350,강원특별자치도,강릉시,105,0.5,-7.7,8.2,0.0,7.2,12.9,4.0,1.9,66.0,36.3,15.9,2018-02-03,2,2018,,,,,,,,,,,,,,,,,,
